SLOT,LAYER,1H,2H,3H,4H,AX,AY,INNER_R,BX,BY,OUTER_R,C,JUMP
1,1-2,4.53,4.05,0.47,4.3,-1.89,48.15,0.05,-2.35,50.87,0.17,2.76,4.12
1,3-4,4.91,3.61,1.3,4.26,-2.57,54.99,0.31,-2.48,57.68,0.01,2.69,-1
2,1-2,4.62,3.96,0.66,4.29,-8.17,47.41,0.13,-8.96,50.1,0.02,2.8,4.11
2,3-4,3.43,4.08,0.65,3.76,-9.16,54.21,0.11,-10.16,56.88,0.04,2.85,-1
3,1-2,4.41,4.41,0,4.41,-14.04,45.99,0.12,-15.35,48.55,0.13,2.88,3.98
3,3-4,3.61,3.43,0.18,3.52,-16.28,52.42,0.14,-17.21,55,0.11,2.74,-1
4,1-2,4.08,3.3,0.78,3.69,-19.78,43.83,0.07,-21.11,46.22,0.12,2.74,4.19
4,3-4,3.4,3.53,0.13,3.46,-22.61,50.14,0.17,-24.01,52.3,0.05,2.57,-1
5,1-2,4.25,3.56,0.69,3.91,-25.14,40.82,0.2,-26.71,42.86,0.05,2.57,4.2
5,3-4,3.72,3.13,0.59,3.42,-28.94,46.43,0.26,-30.26,48.8,0.14,2.71,-1
6,1-2,3.95,3.63,0.32,3.79,-30.03,37.33,0.06,-32.15,39.19,0.08,2.83,4.12
6,3-4,3.31,3.9,0.59,3.61,-34.33,42.69,0.14,-36.56,44.33,0.05,2.77,-1
7,1-2,4.07,4.57,0.5,4.32,-34.6,32.95,0.11,-36.74,34.46,0.15,2.62,4.23
7,3-4,3.63,3.85,0.22,3.74,-39.64,37.54,0.07,-41.8,39.19,0.15,2.72,-1
8,1-2,4.04,3.73,0.31,3.88,-38.44,28.23,0.03,-40.76,29.66,0.05,2.73,4.21
8,3-4,3.76,3.86,0.1,3.81,-43.99,32.36,0.15,-46.44,33.54,0.02,2.72,-1
9,1-2,4.09,3.91,0.18,4,-41.46,23.12,0,-43.97,23.98,0.03,2.65,4.13
9,3-4,3.76,3.5,0.26,3.63,-47.5,26.14,0.11,-49.97,27.39,0.03,2.77,-1
10,1-2,4.01,3.54,0.48,3.78,-43.77,17.57,0.04,-46.45,18.26,0.16,2.76,4.24
10,3-4,3.76,3.43,0.33,3.59,-50.33,19.98,0.13,-53,20.67,0.15,2.76,-1
11,1-2,3.9,3.67,0.23,3.79,-45.69,11.66,0.07,-48.26,11.98,0.02,2.59,4.31
11,3-4,3.84,4.29,0.45,4.05,-52.45,13.01,0.07,-55.1,13.65,0.07,2.73,-1
12,1-2,3.9,4.23,0.33,4.07,-46.62,5.52,0.02,-49.32,5.58,0.08,2.7,4.04
12,3-4,3.67,4.5,0.83,4.09,-53.32,6.19,0.07,-56.09,6.08,0.09,2.77,-1
13,1-2,3.76,4.72,0.96,4.24,-46.81,-0.49,0.06,-49.54,-1.15,0.02,2.81,4.07
13,3-4,3.76,4.45,0.69,4.11,-53.61,-1.07,0.16,-56.37,-1.32,0.16,2.77,-1
14,1-2,3.82,3.63,0.19,3.72,-46.08,-6.64,0.07,-48.55,-7.4,0.19,2.58,4.29
14,3-4,3.41,3.63,0.22,3.52,-52.83,-7.8,0.18,-55.64,-8.55,0.16,2.91,-1
15,1-2,4.01,3.71,0.31,3.86,-44.7,-12.79,0.09,-47.2,-13.66,0.15,2.65,4.17
15,3-4,3.61,3.7,0.09,3.66,-51.18,-14.93,0.13,-53.94,-15.8,0.04,2.89,-1
16,1-2,3.8,3.87,0.07,3.84,-42.45,-18.37,0.04,-44.69,-19.7,0.25,2.61,4.25
16,3-4,3.33,3.57,0.24,3.45,-48.66,-21.24,0.15,-51.17,-22.78,0.12,2.94,-1
17,1-2,3.75,3.85,0.1,3.8,-39.52,-23.89,0.08,-41.47,-25.6,0.07,2.59,4.04
17,3-4,3.47,3.63,0.16,3.55,-45.03,-27.52,0.2,-47.71,-29.26,0.14,3.2,-1
18,1-2,3.97,3.85,0.12,3.91,-35.81,-28.79,0.03,-37.65,-31.01,0.12,2.89,4.17
18,3-4,3.36,3.78,0.42,3.57,-41.27,-33.09,0.39,-43.04,-35.36,0.02,2.89,-1
19,1-2,4.04,3.84,0.2,3.94,-31.37,-33.47,0.21,-33.04,-35.69,0.07,2.78,4.09
19,3-4,3.41,3.92,0.51,3.67,-35.96,-38.56,0.23,-37.96,-40.63,0.15,2.88,-1
20,1-2,3.92,4.09,0.17,4.01,-26.7,-37.28,0.02,-28.13,-39.42,0.16,2.57,4.37
20,3-4,3.22,3.95,0.73,3.59,-30.74,-42.93,0.17,-32.24,-45.28,0.12,2.79,-1
21,1-2,3.83,3.87,0.04,3.85,-21.39,-40.19,0.08,-22.19,-42.94,0.03,2.86,4.23
21,3-4,3.29,3.67,0.38,3.48,-24.47,-46.51,0.19,-25.71,-49.13,0.1,2.9,-1
22,1-2,3.69,4.07,0.38,3.88,-15.61,-42.89,0.1,-16.32,-45.37,0.25,2.58,4.29
22,3-4,3.31,3.5,0.19,3.41,-18.07,-49.29,0.19,-18.86,-52.04,0.14,2.86,-1
23,1-2,3.59,3.88,0.28,3.73,-9.61,-44.57,0.05,-9.86,-47.21,0.03,2.65,4.18
23,3-4,3.45,3.54,0.09,3.5,-10.94,-51.25,0.2,-11.73,-54.04,0.17,2.9,-1
