SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
1,1-2,-60.42,-60.62,-60.25,0.36,-39.03,-39.25,-38.79,0.45,-62.56,-62.7,-62.48,0.22,-41.73,-41.85,-41.62,0.23,3.45,3.39,3.52,0.12,5.88,5.81,5.96,0.15
1,3-4,-67.91,-67.97,-67.81,0.15,-44.2,-44.35,-44.08,0.27,-70.59,-70.68,-70.48,0.19,-46.46,-46.62,-46.33,0.28,3.5,3.33,3.59,0.25,0,0,0,0
2,1-2,-55.54,-55.96,-55.18,0.78,-47.35,-47.87,-47.12,0.75,-57.57,-57.73,-57.44,0.28,-50.04,-50.32,-49.65,0.67,3.38,3.13,3.87,0.74,5.01,4.5,5.38,0.87
2,3-4,-61.64,-61.98,-61.37,0.6,-52.96,-53.15,-52.77,0.37,-64.06,-64.15,-63.88,0.27,-55.45,-55.71,-55.15,0.56,3.47,3.3,3.73,0.43,0,0,0,0
3,1-2,-47.93,-48.02,-47.69,0.33,-53.55,-53.86,-53.41,0.45,-49.5,-49.63,-49.39,0.24,-56.55,-56.64,-56.42,0.21,3.38,3.25,3.5,0.25,5.94,5.8,6.06,0.25
3,3-4,-54.02,-54.12,-53.89,0.22,-60.41,-60.54,-60.26,0.28,-55.98,-56.15,-55.8,0.35,-63.21,-63.28,-63.13,0.14,3.41,3.3,3.62,0.32,0,0,0,0
4,1-2,-40.42,-40.68,-40.24,0.43,-59.2,-59.47,-59.04,0.42,-41.66,-41.82,-41.43,0.39,-62.39,-62.54,-62.26,0.28,3.42,3.28,3.55,0.27,5.92,5.86,5.98,0.12
4,3-4,-45.63,-45.71,-45.53,0.17,-66.79,-66.92,-66.68,0.23,-47.3,-47.39,-47.17,0.21,-69.75,-69.84,-69.7,0.14,3.39,3.27,3.5,0.23,0,0,0,0
5,1-2,-32.56,-32.82,-32.43,0.39,-63.81,-63.87,-63.75,0.11,-33.3,-33.43,-33.2,0.22,-67.31,-67.4,-67.23,0.16,3.57,3.47,3.63,0.15,5.9,5.8,6.02,0.21
5,3-4,-36.65,-36.88,-36.45,0.42,-72.17,-72.33,-71.91,0.42,-37.77,-37.89,-37.68,0.21,-75.48,-75.54,-75.36,0.18,3.49,3.23,3.73,0.5,0,0,0,0
