SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
1,1-2,-1.83333333333333,-1.97,-1.74,0.23,48.1393333333333,48.04,48.28,0.24,-2.42066666666667,-2.57,-2.25,0.31,50.7126666666667,50.53,50.89,0.35,2.64133333333333,2.48,2.79,0.31,4.256,4.01,4.42,0.41
1,3-4,-2.252,-2.57,-1.99,0.57,54.964,54.77,55.16,0.38,-2.494,-2.6,-2.27,0.33,57.6753333333333,57.5,57.78,0.28,2.73,2.52,2.96,0.43,0,0,0,0
2,1-2,-8.26666666666667,-8.48,-8.08,0.4,47.31,47.21,47.41,0.19,-8.96066666666667,-9.14,-8.74,0.4,50.1206666666667,49.92,50.27,0.35,2.89733333333333,2.67,3.05,0.37,4.04333333333333,3.81,4.31,0.49
2,3-4,-9.26266666666667,-9.55,-8.97,0.58,54.1533333333333,54.04,54.28,0.24,-10.142,-10.21,-10,0.21,56.8393333333333,56.79,56.93,0.14,2.83066666666667,2.72,2.97,0.25,0,0,0,0
3,1-2,-14.0346666666667,-14.2,-13.83,0.36,45.8686666666667,45.77,45.99,0.21,-15.238,-15.35,-15.01,0.33,48.4726666666667,48.35,48.65,0.29,2.872,2.65,3.17,0.52,4.08666666666667,3.85,4.4,0.55
3,3-4,-16.1406666666667,-16.37,-15.86,0.51,52.4606666666667,52.33,52.68,0.35,-17.1006666666667,-17.28,-16.86,0.42,55.032,54.98,55.09,0.11,2.75066666666667,2.64,2.82,0.17,0,0,0,0
4,1-2,-19.7073333333333,-19.84,-19.56,0.28,43.812,43.74,43.93,0.18,-21.118,-21.37,-20.95,0.42,46.0906666666667,45.87,46.28,0.41,2.68333333333333,2.5,2.88,0.37,4.16533333333333,3.89,4.32,0.43
4,3-4,-22.6453333333333,-22.82,-22.42,0.39,49.97,49.8,50.17,0.37,-24.0013333333333,-24.13,-23.85,0.27,52.3526666666667,52.24,52.46,0.21,2.746,2.57,2.86,0.29,0,0,0,0
5,1-2,-24.954,-25.14,-24.76,0.37,40.91,40.82,41,0.17,-26.738,-26.95,-26.47,0.48,42.9106666666667,42.79,43.05,0.25,2.68133333333333,2.5,2.93,0.43,4.17266666666667,3.84,4.33,0.49
5,3-4,-28.726,-28.94,-28.53,0.41,46.582,46.42,46.73,0.3,-30.392,-30.57,-30.22,0.35,48.734,48.6,48.81,0.21,2.72933333333333,2.65,2.89,0.24,0,0,0,0
6,1-2,-30.0793333333333,-30.24,-29.93,0.3,37.286,37.19,37.41,0.21,-32.1106666666667,-32.25,-31.97,0.28,39.1146666666667,38.9,39.28,0.38,2.736,2.53,2.9,0.37,4.11133333333333,3.91,4.29,0.37
6,3-4,-34.374,-34.56,-34.22,0.34,42.5513333333333,42.24,42.69,0.44,-36.51,-36.62,-36.35,0.26,44.326,44.2,44.4,0.19,2.77866666666667,2.7,2.87,0.16,0,0,0,0
7,1-2,-34.5466666666667,-34.69,-34.38,0.3,33.0506666666667,32.95,33.2,0.25,-36.81,-36.92,-36.62,0.3,34.5933333333333,34.41,34.76,0.35,2.74066666666667,2.62,2.9,0.27,4.098,3.81,4.29,0.48
7,3-4,-39.596,-39.78,-39.43,0.35,37.6033333333333,37.41,37.85,0.44,-41.8046666666667,-41.92,-41.69,0.23,39.346,39.19,39.5,0.31,2.818,2.72,2.95,0.23,0,0,0,0
8,1-2,-38.4506666666667,-38.61,-38.29,0.32,28.2666666666667,28.12,28.41,0.28,-40.7513333333333,-40.89,-40.45,0.43,29.6073333333333,29.44,29.73,0.28,2.66533333333333,2.52,2.85,0.33,4.17866666666667,3.87,4.35,0.47
8,3-4,-44.0233333333333,-44.46,-43.85,0.6,32.2093333333333,31.96,32.5,0.53,-46.434,-46.53,-46.23,0.3,33.5653333333333,33.42,33.65,0.22,2.77,2.51,3.01,0.5,0,0,0,0
9,1-2,-41.4593333333333,-41.55,-41.33,0.21,23.1166666666667,22.91,23.25,0.33,-43.956,-44.14,-43.78,0.35,24.01,23.88,24.24,0.35,2.656,2.53,2.84,0.31,4.21266666666667,3.94,4.44,0.5
9,3-4,-47.526,-47.72,-47.35,0.36,26.2493333333333,25.95,26.56,0.6,-49.9626666666667,-50.1,-49.83,0.27,27.428,27.34,27.56,0.21,2.71333333333333,2.59,2.91,0.32,0,0,0,0
10,1-2,-43.812,-43.96,-43.72,0.24,17.5693333333333,17.45,17.73,0.28,-46.474,-46.67,-46.26,0.41,18.1,17.84,18.34,0.5,2.71733333333333,2.56,2.96,0.39,4.21533333333333,3.92,4.53,0.61
10,3-4,-50.314,-50.54,-50.13,0.4,19.8486666666667,19.63,20.13,0.5,-53.0606666666667,-53.32,-52.78,0.53,20.522,20.34,20.8,0.46,2.83133333333333,2.72,3.01,0.28,0,0,0,0
11,1-2,-45.7506666666667,-45.94,-45.61,0.32,11.698,11.52,11.9,0.38,-48.2646666666667,-48.56,-48.07,0.49,12.002,11.9,12.3,0.4,2.53333333333333,2.37,2.78,0.4,4.30333333333333,4.09,4.57,0.48
11,3-4,-52.4353333333333,-52.59,-52.29,0.3,13.0806666666667,12.92,13.37,0.44,-55.1526666666667,-55.38,-54.96,0.42,13.5953333333333,13.38,13.9,0.51,2.772,2.62,2.87,0.25,0,0,0,0
12,1-2,-46.6273333333333,-46.81,-46.49,0.32,5.54666666666667,5.23,5.81,0.57,-49.3453333333333,-49.51,-49.14,0.36,5.494,5.35,5.78,0.43,2.72066666666667,2.5,3.03,0.52,4.022,3.84,4.25,0.41
12,3-4,-53.32,-53.5,-53.18,0.32,6.11933333333333,5.88,6.33,0.45,-56.088,-56.17,-55.97,0.2,5.982,5.78,6.2,0.41,2.774,2.62,2.9,0.27,0,0,0,0
13,1-2,-46.8326666666667,-46.96,-46.72,0.24,-0.546,-0.73,-0.34,0.38,-49.538,-49.72,-49.32,0.39,-1.17133333333333,-1.36,-1,0.36,2.778,2.6,2.91,0.31,4.028,3.74,4.32,0.58
13,3-4,-53.558,-53.91,-53.32,0.58,-0.912666666666667,-1.18,-0.6,0.57,-56.438,-56.69,-56.33,0.35,-1.47133333333333,-1.95,-1.1,0.84,2.95266666666667,2.62,3.24,0.62,0,0,0,0
