SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
1,1-2,-2.03,-2.29,-1.91,0.38,47.82,47.77,47.94,0.16,-2.43,-2.52,-2.21,0.31,50.37,50.31,50.45,0.14,2.59,2.52,2.65,0.12,4.53,4.34,4.71,0.36
1,3-4,-2.26,-2.8,-1.98,0.81,54.9,54.66,55.05,0.39,-2.58,-2.74,-2.47,0.27,57.65,57.51,57.72,0.21,2.77,2.64,2.86,0.21,0,0,0,0
2,1-2,-8.02,-8.27,-7.88,0.39,47.06,46.94,47.15,0.21,-8.67,-8.83,-8.55,0.27,49.64,49.41,49.83,0.42,2.66,2.5,2.8,0.29,4.53,4.28,4.87,0.58
2,3-4,-9.01,-9.52,-8.67,0.85,54.16,53.81,54.37,0.55,-9.98,-10.28,-9.86,0.41,56.84,56.7,56.99,0.28,2.85,2.76,3.05,0.29,0,0,0,0
3,1-2,-13.87,-14.29,-13.68,0.6,45.64,45.47,45.72,0.25,-14.93,-15.07,-14.66,0.41,48.11,47.8,48.33,0.53,2.69,2.46,2.92,0.46,4.41,4.21,4.57,0.36
3,3-4,-15.97,-16.42,-15.63,0.79,52.41,52.17,52.6,0.42,-16.9,-17.19,-16.7,0.49,54.88,54.82,54.99,0.17,2.65,2.52,2.76,0.23,0,0,0,0
4,1-2,-19.51,-19.86,-19.32,0.53,43.51,43.4,43.64,0.24,-20.77,-20.91,-20.57,0.33,45.78,45.64,45.88,0.24,2.6,2.5,2.68,0.18,4.54,4.42,4.76,0.33
4,3-4,-22.36,-22.62,-22.13,0.49,50.04,49.79,50.32,0.53,-23.9,-24.07,-23.81,0.26,52.37,52.17,52.49,0.32,2.8,2.57,3.01,0.43,0,0,0,0
5,1-2,-24.73,-24.98,-24.55,0.42,40.64,40.58,40.71,0.13,-26.45,-26.78,-26.24,0.54,42.72,42.63,42.87,0.23,2.7,2.46,2.89,0.43,4.42,4.22,4.65,0.43
5,3-4,-28.53,-28.85,-28.39,0.46,46.63,46.37,46.94,0.57,-30.19,-30.26,-30.16,0.1,48.64,48.55,48.71,0.16,2.61,2.48,2.71,0.23,0,0,0,0
6,1-2,-29.83,-30.2,-29.68,0.51,36.98,36.81,37.11,0.3,-31.78,-31.95,-31.52,0.42,38.89,38.72,38.99,0.26,2.72,2.57,2.86,0.29,4.43,4.09,4.74,0.65
6,3-4,-34.19,-34.54,-34.02,0.52,42.6,42,42.83,0.82,-36.42,-36.57,-36.26,0.31,44.38,44.25,44.47,0.21,2.85,2.77,3.03,0.25,0,0,0,0
7,1-2,-34.3,-34.64,-34.2,0.43,32.73,32.56,32.81,0.25,-36.49,-36.89,-36.27,0.61,34.28,34.13,34.42,0.28,2.68,2.56,2.79,0.23,4.51,4.2,4.62,0.41
7,3-4,-39.43,-39.76,-39.26,0.5,37.71,37.28,37.95,0.67,-41.59,-41.82,-41.42,0.39,39.4,39.25,39.54,0.28,2.73,2.6,2.9,0.29,0,0,0,0
8,1-2,-38.16,-38.49,-38.03,0.46,28.04,27.89,28.13,0.23,-40.38,-40.64,-40.15,0.48,29.52,29.35,29.58,0.22,2.67,2.59,2.76,0.16,4.57,4.24,4.87,0.62
8,3-4,-43.81,-44.04,-43.68,0.35,32.54,31.9,32.97,1.07,-46.34,-46.47,-46.22,0.25,33.62,33.46,33.75,0.28,2.75,2.63,2.89,0.26,0,0,0,0
9,1-2,-41.18,-41.51,-41.06,0.44,22.88,22.78,22.98,0.19,-43.62,-43.9,-43.49,0.4,23.88,23.72,24.01,0.29,2.64,2.5,2.78,0.27,4.47,4.3,4.62,0.31
9,3-4,-47.42,-47.63,-47.33,0.3,26.27,25.96,26.55,0.58,-49.89,-50.09,-49.77,0.32,27.35,27.25,27.5,0.25,2.7,2.6,2.8,0.19,0,0,0,0
10,1-2,-43.48,-43.71,-43.36,0.35,17.33,17.18,17.43,0.25,-46.01,-46.24,-45.81,0.42,18.05,18.01,18.13,0.11,2.63,2.54,2.77,0.23,4.59,4.38,4.88,0.5
10,3-4,-50.19,-50.38,-50.07,0.31,19.96,19.39,20.3,0.91,-52.97,-53.17,-52.9,0.27,20.42,20.3,20.52,0.21,2.83,2.68,2.97,0.29,0,0,0,0
11,1-2,-45.36,-45.6,-45.22,0.38,11.5,11.32,11.6,0.27,-47.96,-48.24,-47.74,0.5,11.95,11.85,12.17,0.32,2.63,2.52,2.74,0.21,4.54,4.34,4.7,0.35
11,3-4,-52.35,-52.5,-52.26,0.24,13.17,12.77,13.48,0.71,-55.17,-55.3,-55.05,0.25,13.42,13.32,13.54,0.21,2.84,2.76,2.92,0.16,0,0,0,0
12,1-2,-46.23,-46.45,-46.14,0.31,5.4,5.05,5.51,0.45,-48.95,-49.21,-48.84,0.36,5.34,5.25,5.42,0.16,2.72,2.62,2.86,0.23,4.45,4.09,4.63,0.53
12,3-4,-53.3,-53.37,-53.22,0.14,6.29,5.8,6.62,0.82,-56.05,-56.26,-55.97,0.28,5.93,5.75,6.01,0.25,2.78,2.67,2.9,0.23,0,0,0,0
13,1-2,-46.36,-46.52,-46.24,0.28,-0.87,-1.01,-0.82,0.19,-49.04,-49.16,-48.89,0.26,-1.25,-1.5,-0.96,0.54,2.71,2.59,2.81,0.22,4.4,4.26,4.76,0.5
