SLOT,LAYER,1H,2H,3H,4H,AX,AY,INNER_R,BX,BY,OUTER_R,C,JUMP
1,1-2,3.55,3.6,0.05,3.58,-60.27,-39.03,0.14,-62.7,-41.85,0.18,3.72,5.62
1,3-4,2.74,3.15,0.41,2.95,-67.83,-44.16,0.08,-70.66,-46.45,0.07,3.64,-1
2,1-2,3.56,3.48,0.08,3.52,-55.54,-47.74,0.39,-57.63,-50.21,0.18,3.24,4.66
2,3-4,3.13,3.1,0.03,3.12,-61.53,-52.77,0.21,-64.02,-55.44,0.04,3.65,-1
3,1-2,5.56,3.54,2.02,4.55,-47.67,-53.87,0.41,-49.57,-56.56,0.07,3.29,5.85
3,3-4,3.32,3.09,0.23,3.21,-54.02,-60.36,0.04,-56.19,-63.15,0.21,3.53,-1
4,1-2,5.8,3.49,2.31,4.63,-40.18,-59.41,0.31,-41.79,-62.4,0.13,3.4,5.83
4,3-4,3.46,3.14,0.32,3.3,-45.62,-66.8,0.01,-47.39,-69.77,0.09,3.46,-1
5,1-2,4.13,3.37,0.76,3.75,-32.47,-64.04,0.24,-33.36,-67.25,0.08,3.33,5.93
5,3-4,3.41,3.08,0.33,3.25,-36.7,-72.15,0.05,-37.96,-75.41,0.2,3.5,-1
6,1-2,4.19,3.69,0.5,3.94,-23.79,-67.54,0.25,-24.43,-70.98,0.3,3.51,5.72
6,3-4,3.56,2.97,0.59,3.27,-26.9,-76.15,0.03,-27.53,-79.62,0.03,3.53,-1
7,1-2,3.87,4.51,0.65,4.2,-15.07,-71.53,0.3,-15.65,-74.79,0.16,3.31,4.96
7,3-4,3.48,3.39,0.09,3.44,-16.93,-79.59,0.16,-17.14,-83.26,0.19,3.68,-1
8,1-2,4.61,4.05,0.55,4.34,-5.39,-71.61,0.09,-4.98,-74.95,0.08,3.37,5.89
8,3-4,3.3,3.78,0.48,3.54,-6.15,-80.73,0.14,-6.07,-84.23,0,3.5,-1
9,1-2,3.77,4.43,0.66,4.09,4.09,-71.72,0.09,4.75,-74.94,0.46,3.29,5.88
9,3-4,3.14,3.81,0.67,3.48,4.5,-80.81,0.42,5.3,-84.47,0.04,3.74,-1
10,1-2,3.83,4.59,0.77,4.22,13.21,-70.48,0.13,14.63,-73.58,0.2,3.4,5.98
